Id;label;wikidata;date of birth;date of death;place of birth;place of death;occupation;educated at;gender;wikipedia;type
p_284;Ambros, Rafael von;Q19298887;12.05.1855;19.09.1895;Prague;;painter;;male;https://de.wikipedia.org/wiki/Rafael_von_Ambros;person
p_285;Amell y Jorda, Manuel;Q59926048;01.01.1843;01.01.1902;Barcelona;;"painter;merchant";;male;https://es.wikipedia.org/wiki/Manuel_Amell_y_Jord%C3%A1;person
p_286;Amendola, G.;;;;;;;;unknown;;person
p_287;Amerling, Friedrich von;Q452397;14.04.1803;14.01.1887;Vienna;Vienna;painter;Academy of Fine Arts Vienna;male;https://en.wikipedia.org/wiki/Friedrich_von_Amerling;person
p_288;Ameseder, Eduard;Q1287896;18.10.1856;24.03.1939;Chernivtsi;Vienna;painter;;male;https://de.wikipedia.org/wiki/Eduard_Ameseder;person
p_289;Amort, Vilim;Q11899107;07.10.1864;05.09.1913;Kunratice;Prague;sculptor;;male;https://de.wikipedia.org/wiki/Vil%C3%A9m_Amort;person
p_189;Anastasio, Pietro;Q92762776;31.07.1859;11.11.1913;Lugano;Morcote;"painter;illustrator;artist";;male;;person
p_190;Anders, Ernst;Q14544340;26.03.1845;01.01.1911;Magdeburg;Mölln;painter;Kunstakademie Düsseldorf;male;https://en.wikipedia.org/wiki/Ernst_Anders;person
p_191;Andersen-Lundby, Anders;Q490709;16.12.1841;04.01.1923;Lundby;Munich;painter;;male;https://en.wikipedia.org/wiki/Anders_Andersen-Lundby;person
p_192;Andling, C. J.;;;;;;;;unknown;;person
p_193;Andorff, Paul;Q43126744;01.01.1849;01.01.1920;;;artist;;male;;person
p_194;Andreae, Tobias;Q7811603;06.03.1823;22.04.1873;Frankfurt am Main;Munich;painter;;male;https://en.wikipedia.org/wiki/Tobias_Andreae;person
p_195;Andreotti, Federigo;Q965813;06.03.1847;30.10.1930;Florence;Florence;painter;;male;https://en.wikipedia.org/wiki/Federico_Andreotti;person
p_196;Andrews, G. D.;;;;;;;;unknown;;person
p_197;Andri, Ferdinand;Q1405079;01.03.1871;19.05.1956;Waidhofen an der Ybbs;Vienna;"painter;university teacher";;male;https://en.wikipedia.org/wiki/Ferdinand_Andri;person
p_198;Andrzejkowicz-Buttowt, Maria Magdalena;Q21558952;22.07.1852;01.06.1933;Balandzi?y;Harnastayevichy;painter;;female;;person
p_199;Anetsberger, Hans;Q1578499;28.10.1870;22.12.1942;Munich;Prien am Chiemsee;"painter;university teacher";;male;https://de.wikipedia.org/wiki/Hans_Anetsberger;person
p_200;Angeli, Heinrich von;Q527201;08.07.1840;21.10.1925;Sopron;Vienna;painter;;male;https://en.wikipedia.org/wiki/Heinrich_von_Angeli;person
p_201;Angelis, A. de;;;;;;;;unknown;;person
p_202;Angujari, Tito;Q3991851;25.04.1834;02.11.1908;Adria;Trieste;painter;;male;https://en.wikipedia.org/wiki/Tito_Agujari;person
p_203;Anker, Albert;Q72510;01.04.1831;16.07.1910;Ins;Ins;"illustrator;painter;pottery painter";"Beaux-Arts de Paris;University of Halle-Wittenberg;University of Bern";male;https://en.wikipedia.org/wiki/Albert_Anker;person
p_204;Anker, O.;;;;;;;;unknown;;person
p_205;Anner, E.;;;;;;;;unknown;;person
p_206;Anning Bell, Robert;Q2442215;14.04.1863;27.11.1933;London;Greater London;"painter;designer";University College School;male;https://en.wikipedia.org/wiki/Robert_Anning_Bell;person
p_207;Anrather, Carl;Q1730304;21.05.1861;17.01.1893;Margreid an der Weinstraße;Margreid an der Weinstraße;painter;;male;https://de.wikipedia.org/wiki/Karl_Anrather;person
p_208;Anreiter, Alois von;Q1718054;16.06.1803;30.09.1882;Bolzano;Vienna;"painter;photographer";;male;https://de.wikipedia.org/wiki/Alois_von_Anreiter;person
p_209;Antocolsky, Marc;Q449595;21.10.1843;09.07.1902;Vilnius;Bad Homburg vor der Höhe;sculptor;Imperial Academy of Arts;male;https://en.wikipedia.org/wiki/Mark_Antokolsky;person
p_2776;Schuster von Bärnrode, Robert;;;;;;;;male;;person
p_211;Aranyossy, Akos von;Q43066214;01.01.1872;01.01.1898;;;painter;;male;;person
p_212;Araujo Ruano, Joaquin;Q1690876;01.01.1851;15.03.1894;Ciudad Real;Madrid;"painter;engraver;illustrator";;male;https://de.wikipedia.org/wiki/Joaqu%C3%ADn_Ara%C3%BAjo_Ruano;person
p_213;Arbesser-Rastburg, Josef von;Q1704216;14.12.1850;20.02.1928;Judenburg;Graz;painter;;male;https://de.wikipedia.org/wiki/Josef_Arbesser_von_Rastburg;person
p_214;Arenhold, L.;;;;;;;;unknown;;person
p_215;Argenti, Antonio;Q3619192;27.03.1845;05.10.1916;Viggiù;Viggiù;sculptor;Brera Academy;male;https://es.wikipedia.org/wiki/Antonio_Argenti;person
p_216;Arndt, Franz;Q21033812;20.08.1842;13.03.1905;?ob?enica;Blasewitz;"university teacher;painter";;male;https://en.wikipedia.org/wiki/Franz_Gustav_Arndt;person
p_217;Arnhard-Deininger, Gabriele;Q1490501;31.07.1855;19.10.1945;Munich;Rum;"painter;engraver";;male;https://en.wikipedia.org/wiki/Gabriele_Maria_Deininger-Arnhard;person
p_218;Arnsburg, Marie;Q998043;03.01.1853;30.05.1940;Vienna;Vienna;painter;;female;https://de.wikipedia.org/wiki/Marie_Arnsburg;person
p_219;Arnz, Albert;Q19360338;24.01.1832;09.09.1914;Düsseldorf;Düsseldorf;painter;Kunstakademie Düsseldorf;male;https://en.wikipedia.org/wiki/Albert_Arnz;person
p_220;Arnz, Otto Franz;Q19513560;29.08.1823;01.01.1860;Düsseldorf;Buenos Aires;"artist;painter;illustrator;lithographer";Kunstakademie Düsseldorf;male;https://de.wikipedia.org/wiki/Otto_Arnz;person
p_1999;Meyer, M.;;;;;;;;unknown;;person
p_2;Artan, Louis;Q545005;20.04.1837;23.05.1890;The Hague;Nieuwpoort;painter;;male;https://en.wikipedia.org/wiki/Louis_Artan;person
p_3;Artmann, Hans;Q24195904;14.11.1868;11.08.1902;Rodaun;Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln;painter;;male;https://de.wikipedia.org/wiki/Hans_Artmann;person
p_4;Artz, Adolph;Q4684310;18.12.1837;08.11.1890;The Hague;The Hague;"painter;drawer;printmaker;collector;artist";Royal Academy of Art;male;https://en.wikipedia.org/wiki/Adolph_Artz;person
p_5;Árvay, Sigmund;;;;;;;;male;;person
p_6;Ascenzi, Ettore;;;;;;;;male;;person
p_7;Askevold, Anders;Q490733;25.12.1834;22.10.1900;Sunnfjord;Düsseldorf;painter;"Statens høgskole for kunsthåndverk og design;Norwegian National Academy of Craft and Art Industry;Kunstakademie Düsseldorf";male;https://en.wikipedia.org/wiki/Anders_Askevold;person
p_8;Asmussen, August;;;;;;;;male;;person
p_9;Asperger, Max;;;;;;;;male;;person
p_10;Assenbaum, Fanny;Q95196757;01.01.1848;01.01.1917;;;painter;;female;https://de.wikipedia.org/wiki/Fanny_Assenbaum;person
p_11;Asslebergs, Alphonse;Q2839699;19.06.1839;04.10.1916;Brussels metropolitan area;Uccle;painter;;male;https://en.wikipedia.org/wiki/Alphonse_Asselbergs;person
p_12;Assmus, Robert;Q1029454;25.12.1837;30.05.1907;West Prussia;Dießen am Ammersee;painter;;male;https://de.wikipedia.org/wiki/Robert_Assmus;person
p_13;Astorri, Enrico Cavaliere;;;;;;;;male;;person
p_14;Aublet, Albert;Q2830928;18.01.1851;01.01.1938;Paris;Neuilly-sur-Seine;painter;;male;https://en.wikipedia.org/wiki/Albert_Aublet;person
p_15;Auchentaller, Josef Maria;Q1705206;02.08.1865;31.12.1949;Vienna;Grado, Friuli-Venezia Giulia;"painter;jewelry designer;drawer;furniture designer;graphic designer";"Academy of Fine Arts Vienna;TU Wien;Academy of Fine Arts, Munich";male;https://en.wikipedia.org/wiki/Josef_Maria_Auchentaller;person
p_16;Auer, Hans Wilhelm;Q121768;16.04.1847;30.08.1906;Wädenswil;Konstanz;architect;;male;https://en.wikipedia.org/wiki/Hans_Auer;person
p_17;Augustynowicz, Alexander;Q16484968;07.02.1865;23.08.1944;Iskrzynia;Warsaw;painter;Jan Matejko Academy of Fine Arts in Krakow;male;https://en.wikipedia.org/wiki/Aleksander_Augustynowicz;person
p_18;Axmann, Ferdinand;Q1405095;03.11.1838;15.03.1910;Vienna;Vienna;painter;;male;https://de.wikipedia.org/wiki/Ferdinand_Axmann;person
p_19;Axmann, Josef;Q1704236;07.03.1793;09.11.1873;Brno;Salzburg;"copperplate engraver;postage stamp designer;engraver;painter;illustrator";;male;https://de.wikipedia.org/wiki/Josef_Axmann;person
p_20;Baade, Knud;Q1508306;28.03.1808;24.11.1879;Skjold;Munich;painter;Royal Danish Academy of Fine Arts;male;https://en.wikipedia.org/wiki/Knud_Baade;person
p_21;Baade, Rudolf;;;;;;;;male;;person
p_22;Baar;Q1356321;07.02.1869;24.10.1925;Klen?í pod ?erchovem;Klen?í pod ?erchovem;"writer;Catholic priest;poet;ethnographer";;male;https://en.wikipedia.org/wiki/Jind%C5%99ich_%C5%A0imon_Baar;person
p_23;Baar, A.;;;;;;;;unknown;;person
p_24;Bach, Carl Theodor;Q18028505;17.11.1858;18.01.1938;Vienna;Prague;"architect;university teacher;civil servant;teacher";TU Wien;male;https://de.wikipedia.org/wiki/Theodor_Bach_(Architekt);person
p_3210;Versteeg, C. G.;;;;;;;;unknown;;person
p_26;Bacher, Rudolf;Q1244402;20.01.1862;16.04.1945;Vienna;Vienna;"painter;sculptor;university teacher";Academy of Fine Arts Vienna;male;https://en.wikipedia.org/wiki/Rudolf_Bacher;person
p_27;Bachrach-Barée, Emanuel;Q5369024;11.04.1863;20.04.1943;Bohumín;Munich;painter;;male;https://en.wikipedia.org/wiki/Emanuel_Bachrach-Bar%C3%A9e;person
p_28;Baczko, Margarethe von;;;;;;;;female;;person
p_29;Bader, Friedrich Wilhelm;Q18508212;03.07.1828;25.08.1907;Brackenheim;Vienna;xylographer;;male;;person
p_30;Baditz, Otto von;Q722934;19.03.1849;21.04.1936;Magyarkeresztúr;Magyarkeresztúr;painter;Academy of Fine Arts Vienna;male;https://en.wikipedia.org/wiki/Ott%C3%B3_Baditz;person
p_31;Baer, C. M.;;;;;;;;unknown;;person
p_32;Baer, Fritz;Q23978193;18.08.1850;20.02.1919;Munich;Munich;painter;;male;https://de.wikipedia.org/wiki/Fritz_Baer_(Maler);person
p_33;Baernreither, Franziska;Q1450074;03.03.1857;30.11.1927;Linz;Linz;"painter;writer";;female;https://de.wikipedia.org/wiki/Franziska_Baernreither;person
p_34;Baeumer, W.;;;;;;;;unknown;;person
p_35;Baikoff, Theodor;;;;;;;;male;;person
p_36;Baisch, Hermann;Q203661;12.07.1846;18.06.1894;Dresden;Karlsruhe;"painter;university teacher";Stuttgart State Academy of Art and Design;male;https://en.wikipedia.org/wiki/Hermann_Baisch;person
p_37;Baisch, Otto;Q1524936;04.05.1840;18.10.1892;Dresden;Stuttgart;"painter;writer;biographer";Annenschule;male;https://de.wikipedia.org/wiki/Otto_Baisch;person
p_38;Bakalowitz, W?adys?aw;Q3787033;28.05.1831;15.11.1904;Chrzanów;Paris;painter;School of Fine Arts in Warsaw;male;https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Baka%C5%82owicz;person
p_39;Baldus, Édouard;Q71244;05.06.1813;22.12.1889;Grünebach;Arcueil;photographer;;male;https://en.wikipedia.org/wiki/%C3%89douard_Baldus;person
p_40;Balla-Feldscharek, Dora;;;;;;;;female;;person
p_41;Ballarini, Enea;;;;;;;;female;;person
p_42;Ballin, Auguste Charles Alfred;Q21288519;17.03.1842;01.01.1885;Boulogne-sur-Mer;;"painter;printmaker;etcher";;male;https://fr.wikipedia.org/wiki/Auguste_Ballin;person
p_43;Balló, Eduard;Q789491;16.12.1859;30.10.1936;Liptovský Mikuláš;Budapest;"painter;restorer;teacher;opinion journalist";;male;;person
p_44;Balta, Ferry;;;;;;;;male;;person
p_45;Bamberger, Gustav;Q1522665;03.12.1861;30.05.1936;Würzburg;Scheibbs;"architect;painter";;male;https://de.wikipedia.org/wiki/Gustav_Bamberger;person
p_46;Bance, Albert;Q18214042;16.10.1847;05.02.1899;Paris;16th arrondissement of Paris;painter;;male;https://fr.wikipedia.org/wiki/Albert_Bance;person
p_47;Bank, Heinrich;Q1596639;22.11.1834;01.03.1923;Duchcov;Graz;"painter;university teacher";;male;https://de.wikipedia.org/wiki/Heinrich_Bank;person
p_48;Banko, Ignaz;Q55683643;04.06.1839;10.03.1897;Vienna;Innsbruck;architect;;male;;person
p_49;Bantzer, Carl Noah;Q878161;06.08.1857;19.12.1941;Ziegenhain;Marburg;"painter;university teacher;photographer";Academy of Arts, Berlin;male;https://en.wikipedia.org/wiki/Carl_Bantzer;person
p_156;Bara, Leopold;Q43127097;01.01.1846;01.01.1911;Vienna;;artist;;male;;person
p_157;Baracz, Thadäus;Q4078466;24.03.1849;12.03.1905;Lviv;Lviv;sculptor;"Jan Matejko Academy of Fine Arts in Krakow;Academy of Fine Arts, Munich";male;;person
p_158;Barbarini, Gustav;Q42297788;17.06.1840;16.05.1909;Vienna;Vienna;painter;;male;;person
p_159;Barbella, Constantin Cavalliere;;;;;;;;male;;person
p_160;Barbudo-Sanchez, Salvador;Q6117791;14.03.1857;28.11.1917;Jerez de la Frontera;Rome;painter;;male;https://en.wikipedia.org/wiki/Salvador_S%C3%A1nchez_Barbudo;person
p_161;Bareglia, Donato;;;;;;;;male;;person
p_162;Barison, Giuseppe;Q3770064;05.09.1853;07.01.1931;Trieste;Trieste;painter;;male;https://en.wikipedia.org/wiki/Giuseppe_Barison;person
p_163;Barnes, Robert;Q21289754;01.01.1840;01.01.1895;;;painter;;male;;person
p_164;Bartels, Hans von;Q475143;25.12.1856;05.10.1913;Hamburg;Munich;"painter;university teacher";;male;https://en.wikipedia.org/wiki/Hans_von_Bartels;person
p_165;Barth;;;;;;;;unknown;;person
p_166;Barthel, Paul;Q21852973;24.03.1862;07.08.1933;Zwickau;;painter;Berliner Akademie der Künste;male;https://de.wikipedia.org/wiki/Paul_Barthel_(Maler);person
p_167;Barthelmees, Nikolaus;Q23059913;27.06.1829;29.08.1889;Erlangen;Düsseldorf;engraver;;male;https://de.wikipedia.org/wiki/Nikolaus_Barthelmess;person
p_169;Bartoschek, Carl Josef;Q24514256;26.11.1870;31.12.1943;Vienna;Ahrenshoop;painter;;male;https://de.wikipedia.org/wiki/Karl_Bartoschek;person
p_170;Barucci, Pietro;Q7192931;20.04.1845;23.02.1917;Rome;Rome;painter;;male;https://en.wikipedia.org/wiki/Pietro_Barucci;person
p_171;Barzaghi, Franz;Q924880;10.02.1839;21.08.1892;Milan;Milan;sculptor;Brera Academy;male;https://en.wikipedia.org/wiki/Francesco_Barzaghi;person
p_172;Basedow, Heinrich;Q30004725;01.01.1865;01.01.1930;Berlin;Potsdam;painter;;male;https://de.wikipedia.org/wiki/Heinrich_Basedow_der_%C3%84ltere;person
p_50;Bassler, Friedrich;;;;;;;;male;;person
p_804;Fichard, Max von;Q55849861;01.01.1836;01.01.1922;;;painter;Accademia di Belle Arti di Venezia;male;;person
p_51;Bastert, Nicolaas;Q474358;07.01.1854;18.04.1939;Maarsseveen;Loenen aan de Vecht;painter;Royal Academy of Art;male;https://en.wikipedia.org/wiki/Nicolaas_Bastert;person
p_52;Battaglia, Alessandro;Q3609834;26.04.1870;01.01.1940;Rome;Rome;painter;;male;;person
p_53;Bauck, Jeanne;Q19422204;19.08.1840;27.05.1926;Stockholm;Munich;"painter;teacher";;female;https://en.wikipedia.org/wiki/Jeanna_Bauck;person
p_54;Bauer, Franz;Q28928967;28.09.1798;14.03.1872;Vienna;Vienna;"sculptor;teacher";;male;https://en.wikipedia.org/wiki/Franz_Bauer_(sculptor);person
p_55;Bauer, Josef;Q27306802;01.10.1820;11.01.1905;Munich;Vienna;"lithographer;painter";;male;;person
p_56;Bauernfeind, Gustav;Q321689;04.09.1848;24.12.1904;Sulz am Neckar;Jerusalem;"painter;architect;illustrator";;male;https://en.wikipedia.org/wiki/Gustav_Bauernfeind;person
p_57;Baum, Paul;Q541671;22.09.1859;15.05.1932;Meissen;San Gimignano;"painter;university teacher;porcelain painter";Dresden Academy of Fine Arts;male;https://en.wikipedia.org/wiki/Paul_Baum_(artist);person
p_58;Baumann, Pauline;Q94741861;01.01.1817;01.01.1893;;;;;female;;person
p_59;Baume;;;;;;;;unknown;;person
p_60;Bäumer, Wilhelm;Q2575153;18.04.1829;04.11.1895;Ravensburg;Strasbourg;"architect;art historian;architectural historian";;male;https://de.wikipedia.org/wiki/Wilhelm_B%C3%A4umer_(Architekt);person
p_61;Baumgartner, Peter;Q19923632;24.05.1834;12.12.1911;Giesing;Munich;painter;;male;https://de.wikipedia.org/wiki/Peter_Baumgartner_(Maler);person
p_173;Bauqué, Armand;Q16739378;05.11.1851;04.01.1903;Paris;Vienna;architect;Beaux-Arts de Paris;unknown;https://de.wikipedia.org/wiki/Amand_Louis_Bauqu%C3%A9;person
p_174;Baur, Albert;Q2637581;07.07.1835;07.05.1906;Aachen;Düsseldorf;"painter;university teacher";"University of Bonn;Kunstakademie Düsseldorf";male;https://en.wikipedia.org/wiki/Albert_Baur;person
p_175;Baur, Carl Albert;Q24231885;13.07.1851;22.08.1907;Munich;Unterammergau;painter;"Ludwig Maximilian University of Munich;Academy of Fine Arts, Munich";male;https://de.wikipedia.org/wiki/Karl_Albert_von_Baur;person
p_176;Baworowski, Anton C.;Q23719014;28.01.1853;01.01.1927;Vienna;Munich;"painter;illustrator";;male;https://de.wikipedia.org/wiki/Anton_Carl_Baworowski;person
p_177;Bayer, Alfred;Q65027921;10.02.1859;03.03.1916;Karlovy Vary;Karlovy Vary;"architect;state-certified engineers specializing in building construction";Czech Technical University in Prague;male;https://de.wikipedia.org/wiki/Alfred_Bayer_(Architekt);person
p_2189;Oesterley, Carl d. J.;Q878154;23.01.1839;16.12.1930;Göttingen;Hamburg;painter;Kunstakademie Düsseldorf;male;https://en.wikipedia.org/wiki/Carl_August_Heinrich_Ferdinand_Oesterley;person
p_713;Elias, Henri;;;;;;;;male;;person
p_179;Bayer, Julius;Q52155220;01.01.1840;17.07.1883;;Vienna;painter;;male;;person
p_180;Bayer, Rudolf;Q1779074;20.02.1825;04.07.1878;Vienna;;architect;;male;https://de.wikipedia.org/wiki/Rudolf_Bayer_(Architekt);person
p_181;Bazzani, Luigi;Q20379903;08.11.1836;02.02.1927;Bologna;Rome;"painter;scenographer";;male;https://en.wikipedia.org/wiki/Luigi_Bazzani;person
p_182;Bazzaro, Leonardo;Q284741;13.12.1853;02.11.1937;Milan;Milan;painter;Brera Academy;male;https://en.wikipedia.org/wiki/Leonardo_Bazzaro;person
p_183;Beaume, Joseph;Q1706588;24.09.1796;11.09.1885;Marseille;10th arrondissement of Paris;painter;;male;https://en.wikipedia.org/wiki/Joseph_Beaume;person
p_184;Beaumont;;;;;;;;unknown;;person
p_185;Becher, Arved von;;;;;;;;male;;person
p_186;Bechi, Luigi;Q6699954;01.03.1830;19.11.1919;Florence;Florence;"painter;teacher";Academy of Fine Arts, Florence;male;https://en.wikipedia.org/wiki/Luigi_Bechi;person
p_187;Bechtolsheim, Gustav Frh. von;Q15450888;02.11.1842;27.01.1924;Regensburg;Munich;painter;Academy of Fine Arts, Munich;male;https://de.wikipedia.org/wiki/Gustav_von_Bechtolsheim_(Maler);person
p_188;Beck, Friedrich;Q39800276;17.12.1873;13.08.1921;Vienna;Vienna;"painter;scientific illustrator";;male;https://de.wikipedia.org/wiki/Friedrich_Beck_(Maler);person
p_73;Beek, Theodor von der;Q23000537;21.03.1838;15.03.1921;Kaiserswerth;Düsseldorf;painter;Kunstakademie Düsseldorf;male;https://de.wikipedia.org/wiki/Theodor_von_der_Beek;person
p_62;Becker, Albert;Q52822161;22.10.1830;01.09.1896;Berlin;Berlin;painter;"Prussian Academy of Arts;Berliner Akademie der Künste";male;https://de.wikipedia.org/wiki/Albert_Becker_(Maler);person
p_63;Becker, August;Q760890;27.01.1821;19.12.1887;Darmstadt;Düsseldorf;"painter;drawer";Kunstakademie Düsseldorf;male;https://en.wikipedia.org/wiki/August_Becker_(painter);person
p_64;Becker, Benno;;;;;;;;male;;person
p_65;Becker, Carl;Q317492;18.12.1820;20.12.1900;Berlin;Berlin;painter;Berliner Akademie der Künste;male;https://en.wikipedia.org/wiki/Karl_Becker_(painter);person
p_66;Becker, Hugo L.;Q6699244;19.07.1833;25.12.1868;Wesel;Düsseldorf;"painter;etcher";Kunstakademie Düsseldorf;male;https://en.wikipedia.org/wiki/Ludwig_Hugo_Becker;person
p_67;Becker, O.;;;;;;;;male;;person
p_68;Becker, Peter;Q52317;10.11.1828;18.08.1904;Frankfurt am Main;Soest;painter;;male;https://de.wikipedia.org/wiki/Peter_Becker_(Maler);person
p_69;Beckerath, Moritz von;Q1948104;02.05.1838;17.09.1896;Krefeld;Munich;"history painter;painter";"Kunstakademie Düsseldorf;Academy of Fine Arts, Munich";male;https://en.wikipedia.org/wiki/Moritz_von_Beckerath;person
p_70;Beckmann, Conrad;Q37019783;21.06.1846;03.01.1902;Hanover;Munich;"painter;illustrator;drawer";;male;https://de.wikipedia.org/wiki/Conrad_Beckmann_(Maler);person
